ticker,timeframe,timestamp,open,high,low,close,volume,candle_pattern,atr_period,atr_multiplier,atr_value,long_stop,short_stop,direction,buy_signal,sell_signal,ema_11,ema_22,ema_50,ema_200,obv,ma_period,ma_value,bb_std,upper_band,lower_band,rsi_14,pp,r1,r2,r3,s1,s2,s3
BTCUSDT,1h,2025-04-09 09:00:00,77304.35000000,77540.00000000,77168.59000000,77478.26000000,702.62992000,,22.0,3.00,2835.69982760,77064.32541871,77909.02982760,-1.0,False,False,76975.50109728,77260.64346428,78112.46167368,80964.99875132,27651.84174200,14,24820.89343200,2.0000,,,50.50196326,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 08:00:00,77694.12000000,77880.00000000,77085.00000000,77304.35000000,1261.18448000,,22.0,3.00,2917.67458129,77064.32541871,77967.82857876,-1.0,False,False,76874.94931674,77239.91807992,78138.34745628,81000.04135184,26949.21182200,14,24753.97880771,2.0000,,,49.10105140,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 07:00:00,76829.01000000,77979.30000000,76818.52000000,77694.12000000,3645.52951000,,22.0,3.00,2943.04003755,77038.95996245,77967.82857876,-1.0,False,False,76789.06918009,77233.78170658,78172.38816878,81037.18397849,28210.39630200,14,24965.88156414,2.0000,,,52.17415675,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 06:00:00,76734.83000000,77317.89000000,76709.69000000,76829.02000000,1366.49318000,,22.0,3.00,2917.35908695,77064.64091305,77967.82857876,-1.0,False,False,76608.05901610,77189.93996435,78191.90931852,81070.78261144,24564.86679200,14,25218.67816914,2.0000,,,45.09143894,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 05:00:00,76416.33000000,76820.52000000,76214.32000000,76734.83000000,1382.92585000,Inverted Hammer,22.0,3.00,2969.39523395,77012.60476605,77967.82857876,-1.0,False,False,76563.86681932,77224.31329429,78247.53745397,81113.41339145,23198.37361200,14,25955.22796629,2.0000,,,44.25683052,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 04:00:00,75073.34000000,76915.94000000,75000.00000000,76416.34000000,2745.32330000,Tweezer Bottom,22.0,3.00,3024.19500700,76957.80499300,77967.82857876,-1.0,False,False,76529.67418319,77270.93075089,78309.28061536,81157.41925469,21815.44776200,14,26975.18569700,2.0000,,,41.46313900,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 03:00:00,75674.45000000,75869.57000000,75015.86000000,75073.33000000,1469.18560000,,22.0,3.00,2894.49857876,77087.50142124,77967.82857876,-1.0,False,False,76552.34101983,77352.32034621,78386.54349762,81205.06829242,19070.12446200,14,27935.66200914,2.0000,,,27.17130013,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 02:00:00,76070.53000000,76473.62000000,75572.38000000,75674.44000000,1774.07613000,,22.0,3.00,2910.37327298,77071.62672702,78584.81327298,-1.0,False,False,76848.14322379,77569.36704585,78521.77670160,81266.69380290,20539.31006200,14,29269.48554414,2.0000,,,30.23981187,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 01:00:00,76522.07000000,76595.42000000,74620.00000000,76070.53000000,4724.66887000,,22.0,3.00,2920.21390503,77379.78609497,78990.74390503,-1.0,False,False,77082.88386855,77749.83628831,78637.99452616,81322.89735871,22313.38619200,14,30294.69723557,2.0000,,,32.48445996,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 00:00:00,76322.42000000,76868.28000000,75926.52000000,76522.07000000,1811.75453000,,22.0,3.00,2777.06885289,77522.93114711,79097.19308398,-1.0,False,False,77285.35464226,77909.77022053,78742.78899662,81375.68497035,27038.05506200,14,31286.69923700,2.0000,,,35.25460631,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
